# 数据集：synthetic_takeaway_menu_v3
# 说明：用于推荐算法测试的420道模拟外卖数据：180道属于60个营养相似组，240道差异化菜品两两之间至少有一项核心营养差异超过10%。
# 菜品数量：420
菜品ID	平台	商家名称	菜品名称	分类	每份重量(g)	价格(元)	热量(kcal)	蛋白质(g)	脂肪(g)	碳水(g)	膳食纤维(g)	钠(mg)	添加糖(g)	营养近似组	价格档位	数据角色
sim-001	meituan	街坊实惠餐厅	香草鸡胸糙米饭（实惠版）	杂粮饭	390	16.6	479	23.5	11.3	54.5	4.8	603	1.0	similar-001	economy	similar_group
sim-002	eleme	城市标准食堂	香草鸡胸糙米饭（标准版）	杂粮饭	390	23.0	470	24.0	11.0	54.0	5.0	580	1.0	similar-001	standard	similar_group
sim-003	jd	精品健康餐厅	香草鸡胸糙米饭（精品版）	杂粮饭	390	43.7	461	24.7	10.7	52.9	5.2	539	0.9	similar-001	premium	similar_group
sim-004	eleme	街坊实惠餐厅	香草鸡胸藜麦饭（实惠版）	轻食饭	408	18.1	507	24.1	12.1	62.6	5.9	650	2.0	similar-002	economy	similar_group
sim-005	jd	城市标准食堂	香草鸡胸藜麦饭（标准版）	轻食饭	408	25.1	497	24.6	11.7	62.0	6.1	625	2.0	similar-002	standard	similar_group
sim-006	meituan	精品健康餐厅	香草鸡胸藜麦饭（精品版）	轻食饭	408	47.7	487	25.3	11.3	60.8	6.4	581	1.8	similar-002	premium	similar_group
sim-007	jd	街坊实惠餐厅	香草鸡胸荞麦面（实惠版）	面食	426	19.6	534	24.7	12.8	70.7	7.0	697	3.1	similar-003	economy	similar_group
sim-008	meituan	城市标准食堂	香草鸡胸荞麦面（标准版）	面食	426	27.2	524	25.2	12.4	70.0	7.2	670	3.0	similar-003	standard	similar_group
sim-009	eleme	精品健康餐厅	香草鸡胸荞麦面（精品版）	面食	426	51.7	514	26.0	12.0	68.6	7.6	623	2.7	similar-003	premium	similar_group
sim-010	meituan	街坊实惠餐厅	香草鸡胸全麦意面（实惠版）	意面	444	21.1	562	25.3	13.5	78.8	8.1	744	4.1	similar-004	economy	similar_group
sim-011	eleme	城市标准食堂	香草鸡胸全麦意面（标准版）	意面	444	29.3	551	25.8	13.1	78.0	8.3	715	4.0	similar-004	standard	similar_group
sim-012	jd	精品健康餐厅	香草鸡胸全麦意面（精品版）	意面	444	55.7	540	26.6	12.7	76.4	8.7	665	3.6	similar-004	premium	similar_group
